number of configuration,2_blocks,4_blocks,6_blocks,10_blocks
conf_0,-1,14,7,8
conf_1,-1,6,26,-1
conf_2,199,27,63,32
conf_3,47,62,15,22
conf_4,-1,5,15,898
conf_5,12,13,345,-1
conf_6,5,139,46,23
conf_7,-1,41,7,-1
conf_8,710,541,245,-1
conf_9,-1,96,13,-1
